dataset,method,metric,source,validity_col,K_hat_BH,R(K_hat_BH),Val(K_hat_BH),max R(K),max Val(K)
MNIST,t-SNE,AMI,k_sweep_summary_long,V_mean,40,0.900640959160837,0.6565554468213537,0.9874447526608788,0.7897728664482063
MNIST,t-SNE,ARI,k_sweep_summary_long,V_mean,40,0.789273341844745,0.317566943015958,0.9943426847251507,0.7444024192381974
MNIST,t-SNE,Jaccard,k_sweep_summary_long,V_mean,40,0.6608186110634116,0.2087972117140427,0.9943752405794536,0.6261481290714727
MNIST,UMAP,AMI,k_sweep_summary_long,V_mean,40,0.9071012981799744,0.6582841707794725,0.9981725150604344,0.7988544058205378
MNIST,UMAP,ARI,k_sweep_summary_long,V_mean,40,0.7899332132418564,0.319721820582675,0.999050329311624,0.7228493531701307
MNIST,UMAP,Jaccard,k_sweep_summary_long,V_mean,40,0.6619567277222268,0.2104903572965097,0.9985441624226706,0.6025613836004663
UCI HAR,t-SNE,AMI,k_sweep_summary_long,V_mean,20,0.89491794612494,0.5311450966379608,1.0,0.6689971205183644
UCI HAR,t-SNE,ARI,k_sweep_summary_long,V_mean,20,0.7900349110669773,0.2884654150747441,1.0,0.5887338528477364
UCI HAR,t-SNE,Jaccard,k_sweep_summary_long,V_mean,20,0.6733797745164954,0.2085189501815381,1.0,0.5078558468864478
UCI HAR,UMAP,AMI,k_sweep_summary_long,V_mean,20,0.8986382465167303,0.5420846073440443,1.0,0.6930923727494367
UCI HAR,UMAP,ARI,k_sweep_summary_long,V_mean,20,0.8211602985202325,0.3063075503742975,1.0,0.5584482030047532
UCI HAR,UMAP,Jaccard,k_sweep_summary_long,V_mean,20,0.7166367762993728,0.2242801775044376,1.0,0.481478205177854
Olivetti Faces,t-SNE,AMI,k_sweep_summary_long,V_mean,40,0.8518278006174133,0.6656978156934715,0.9708250520576728,0.6656978156934715
Olivetti Faces,t-SNE,ARI,k_sweep_summary_long,V_mean,40,0.7590413485436108,0.5138612927613023,0.9825570688943476,0.5138612927613023
Olivetti Faces,t-SNE,Jaccard,k_sweep_summary_long,V_mean,40,0.6214828503311649,0.3562961149713406,0.984101228671887,0.3562961149713406
Olivetti Faces,UMAP,AMI,k_sweep_summary_long,V_mean,40,0.8790724217080494,0.6475224193817714,0.995878260685242,0.6475224193817714
Olivetti Faces,UMAP,ARI,k_sweep_summary_long,V_mean,40,0.8015448655248327,0.5040993510579014,0.9982038649275552,0.5040993510579014
Olivetti Faces,UMAP,Jaccard,k_sweep_summary_long,V_mean,40,0.6772640408457588,0.3474786424650798,0.9988273702767764,0.3474786424650798
CIFAR-10,t-SNE,AMI,k_sweep_summary_long,V_mean,40,0.8122440580596317,0.4335872145946346,0.9888484992361528,0.4712554512808523
CIFAR-10,t-SNE,ARI,k_sweep_summary_long,V_mean,40,0.6283343751312859,0.1985139247039855,0.995867404690032,0.4081376087464632
CIFAR-10,t-SNE,Jaccard,k_sweep_summary_long,V_mean,40,0.4927536327057247,0.1284928593495979,0.9986953165552772,0.3000670059950695
CIFAR-10,UMAP,AMI,k_sweep_summary_long,V_mean,40,0.8476991276819681,0.4462491438077823,1.0,0.5110946340751823
CIFAR-10,UMAP,ARI,k_sweep_summary_long,V_mean,40,0.681559101964485,0.2061190636772925,0.9999248398092552,0.4113087776942757
CIFAR-10,UMAP,Jaccard,k_sweep_summary_long,V_mean,40,0.5765733177021806,0.1322871409602278,0.9988352503300988,0.3027889610935592
20 Newsgroups,t-SNE,AMI,k_sweep_summary_long,V_mean,30,0.871718778637802,0.2661753716641174,0.9665469452448788,0.2661753716641174
20 Newsgroups,t-SNE,ARI,k_sweep_summary_long,V_mean,30,0.7461145229276354,0.1271185785298777,0.9806767841847328,0.1366624536529038
20 Newsgroups,t-SNE,Jaccard,k_sweep_summary_long,V_mean,30,0.6094160737130865,0.0891777510880801,0.9748133560443232,0.0998174104255392
20 Newsgroups,UMAP,AMI,k_sweep_summary_long,V_mean,30,0.8667356388987325,0.2602715934038454,0.9491361870657228,0.2602715934038454
20 Newsgroups,UMAP,ARI,k_sweep_summary_long,V_mean,30,0.7215302617724186,0.1168049639802599,0.969200309407448,0.1206082659549613
20 Newsgroups,UMAP,Jaccard,k_sweep_summary_long,V_mean,30,0.5807336266362844,0.0839306020552119,0.9708203796137512,0.0916724309488585
AG News,t-SNE,AMI,k_sweep_summary_long,V_mean,20,0.820993826609291,0.243308736523565,0.963450408880446,0.243308736523565
AG News,t-SNE,ARI,k_sweep_summary_long,V_mean,20,0.6756746200952531,0.1038272708759733,0.9861145629733522,0.2626154843210934
AG News,t-SNE,Jaccard,k_sweep_summary_long,V_mean,20,0.5350940629872784,0.1016699730538488,0.9818669029973028,0.2897801854238762
AG News,UMAP,AMI,k_sweep_summary_long,V_mean,20,0.8492114116234349,0.239729576821193,0.9398636617038884,0.2448390657633412
AG News,UMAP,ARI,k_sweep_summary_long,V_mean,20,0.7325821065007992,0.1235466129241118,0.942528814620681,0.1468452045545944
AG News,UMAP,Jaccard,k_sweep_summary_long,V_mean,20,0.6080783458863456,0.1239997687492248,0.9341387043667904,0.246661172658908
