dataset_id,method,metric,k0,theta_T_star,theta_V_star,theta_T_star_set_json,theta_V_star_set_json,n_theta_T_star,n_theta_V_star,argmax_match,T_at_theta_T_star,V_at_theta_T_star,T_at_theta_V_star,V_at_theta_V_star,delta_opt_abs,z_at_theta_T_star,certified_theta_T_star,certified_theta_V_star,spearman_T_V,kendall_T_V,selection_regret,top2_overlap,pairwise_concordance,n_hyperparam_settings
20 Newsgroups,t-SNE,AMI,20,perp=100,perp=100,"[""perp=100""]","[""perp=100""]",1,1,True,0.8743523142898058,0.2761068009124365,0.8743523142898058,0.2761068009124365,0.0,76589.0657014504,True,True,0.8285714285714287,0.7333333333333333,0.0,1,0.8666666666666667,6
20 Newsgroups,t-SNE,ARI,20,perp=100,perp=30,"[""perp=100""]","[""perp=30""]",1,1,False,0.7765078934066146,0.1516989745307256,0.7033172145325246,0.153597335326873,0.0018983607961474,195665.59382276676,True,True,0.2571428571428572,0.2,0.0018983607961474,1,0.6,6
20 Newsgroups,t-SNE,JACCARD,20,perp=100,perp=30,"[""perp=100""]","[""perp=30""]",1,1,False,0.65655788012485,0.1082967053597402,0.5672591611526613,0.1091741752877553,0.0008774699280151,317475.31653659174,True,True,0.2571428571428572,0.2,0.0008774699280151,1,0.6,6
20 Newsgroups,UMAP,AMI,20,n_neighbors=15,n_neighbors=100,"[""n_neighbors=15""]","[""n_neighbors=100""]",1,1,False,0.8995171198443046,0.2742386680994434,0.8890740348393185,0.2811534510741337,0.0069147829746902,76509.67633109493,True,True,0.6,0.4666666666666667,0.0069147829746902,1,0.7333333333333333,6
20 Newsgroups,UMAP,ARI,20,n_neighbors=15,n_neighbors=100,"[""n_neighbors=15""]","[""n_neighbors=100""]",1,1,False,0.8064533070830247,0.1399098025533184,0.7889559739341006,0.1475465106959576,0.0076367081426391,173649.42911984315,True,True,0.4857142857142857,0.3333333333333333,0.0076367081426391,0,0.6666666666666666,6
20 Newsgroups,UMAP,JACCARD,20,n_neighbors=15,n_neighbors=100,"[""n_neighbors=15""]","[""n_neighbors=100""]",1,1,False,0.6996786514616882,0.1024526116673969,0.6743518465415296,0.1068360626418208,0.0043834509744239,288978.94474523806,True,True,0.4857142857142857,0.3333333333333333,0.0043834509744239,0,0.6666666666666666,6
AG News,t-SNE,AMI,4,perp=30,perp=30,"[""perp=30""]","[""perp=30""]",1,1,True,0.9822264542850944,0.2638166286658177,0.9822264542850944,0.2638166286658177,0.0,64584.04791398609,True,True,0.7142857142857143,0.6,0.0,2,0.8,6
AG News,t-SNE,ARI,4,perp=30,perp=30,"[""perp=30""]","[""perp=30""]",1,1,True,0.9861145629733522,0.2626154843210934,0.9861145629733522,0.2626154843210934,0.0,63579.20487103589,True,True,0.8285714285714287,0.7333333333333333,0.0,2,0.8666666666666667,6
AG News,t-SNE,JACCARD,4,perp=30,perp=30,"[""perp=30""]","[""perp=30""]",1,1,True,0.9818669029973028,0.2897801854238762,0.9818669029973028,0.2897801854238762,0.0,109983.6983925604,True,True,0.7714285714285715,0.6,0.0,2,0.8,6
AG News,UMAP,AMI,4,n_neighbors=5,n_neighbors=100,"[""n_neighbors=5""]","[""n_neighbors=100""]",1,1,False,0.968039869283036,0.0607668275678539,0.6748399801431195,0.1774206692703025,0.1166538417024486,25176.383560412272,True,True,-0.6,-0.4666666666666667,0.1166538417024486,1,0.2666666666666666,6
