dataset_id,method,metric,spearman_T_V,selection_regret,top2_overlap,pairwise_concordance,kendall_T_V,n_hyperparam_settings
20 Newsgroups,t-SNE,AMI,0.8285714285714287,0.0,1,0.8666666666666667,0.7333333333333333,6
20 Newsgroups,t-SNE,ARI,0.2571428571428572,0.0018983607961474,1,0.6,0.2,6
20 Newsgroups,t-SNE,JACCARD,0.2571428571428572,0.0008774699280151,1,0.6,0.2,6
20 Newsgroups,UMAP,AMI,0.6,0.0069147829746902,1,0.7333333333333333,0.4666666666666667,6
20 Newsgroups,UMAP,ARI,0.4857142857142857,0.0076367081426391,0,0.6666666666666666,0.3333333333333333,6
20 Newsgroups,UMAP,JACCARD,0.4857142857142857,0.0043834509744239,0,0.6666666666666666,0.3333333333333333,6
AG News,t-SNE,AMI,0.7142857142857143,0.0,2,0.8,0.6,6
AG News,t-SNE,ARI,0.8285714285714287,0.0,2,0.8666666666666667,0.7333333333333333,6
AG News,t-SNE,JACCARD,0.7714285714285715,0.0,2,0.8,0.6,6
AG News,UMAP,AMI,-0.6,0.1166538417024486,1,0.2666666666666666,-0.4666666666666667,6
AG News,UMAP,ARI,-0.2571428571428572,0.0197593297751682,1,0.4,-0.2,6
AG News,UMAP,JACCARD,-0.0857142857142857,0.0449734530614039,1,0.4666666666666667,-0.0666666666666666,6
CIFAR-10,t-SNE,AMI,0.4857142857142857,0.0158311103590798,1,0.6666666666666666,0.3333333333333333,6
CIFAR-10,t-SNE,ARI,0.7142857142857143,0.0069490211275564,1,0.8,0.6,6
CIFAR-10,t-SNE,JACCARD,0.7142857142857143,0.005065462067806,1,0.8,0.6,6
CIFAR-10,UMAP,AMI,0.4285714285714286,0.0074177960964376,1,0.6666666666666666,0.3333333333333333,6
CIFAR-10,UMAP,ARI,0.3142857142857143,0.0068763805857992,1,0.6,0.2,6
CIFAR-10,UMAP,JACCARD,0.1428571428571428,0.0050225023499888,1,0.5333333333333333,0.0666666666666666,6
MNIST,t-SNE,AMI,0.3142857142857143,0.0142413336050484,1,0.6,0.2,6
MNIST,t-SNE,ARI,0.3714285714285715,0.0170121199090472,1,0.6666666666666666,0.3333333333333333,6
MNIST,t-SNE,JACCARD,0.3714285714285715,0.0201454420461936,1,0.6666666666666666,0.3333333333333333,6
MNIST,UMAP,AMI,0.6571428571428573,0.0,2,0.8,0.6,6
MNIST,UMAP,ARI,0.0857142857142857,0.0075262147208411,1,0.6,0.2,6
MNIST,UMAP,JACCARD,0.0857142857142857,0.008588003339786,1,0.6,0.2,6
Olivetti Faces,t-SNE,AMI,1.0,0.0,2,1.0,1.0,6
Olivetti Faces,t-SNE,ARI,0.942857142857143,0.0049970106851422,2,0.9333333333333332,0.8666666666666667,6
Olivetti Faces,t-SNE,JACCARD,0.942857142857143,0.0045436849355412,2,0.9333333333333332,0.8666666666666667,6
Olivetti Faces,UMAP,AMI,1.0,0.0,2,1.0,1.0,6
Olivetti Faces,UMAP,ARI,0.942857142857143,0.015907303657575,2,0.9333333333333332,0.8666666666666667,6
Olivetti Faces,UMAP,JACCARD,0.942857142857143,0.0155825664957314,2,0.9333333333333332,0.8666666666666667,6
UCI HAR,t-SNE,AMI,0.7142857142857143,0.0,1,0.8,0.6,6
UCI HAR,t-SNE,ARI,0.7142857142857143,0.0,1,0.8,0.6,6
UCI HAR,t-SNE,JACCARD,0.7142857142857143,0.0,1,0.8,0.6,6
UCI HAR,UMAP,AMI,0.7714285714285715,0.0074491432283483,1,0.8,0.6,6
UCI HAR,UMAP,ARI,0.7142857142857143,0.0340020695284465,1,0.7333333333333333,0.4666666666666667,6
UCI HAR,UMAP,JACCARD,0.7714285714285715,0.0107345763779095,1,0.8,0.6,6
