dataset_id,method,metric,M_pairs,replicate_id,K,T_mean,scenario_type,b,R,pairs_pool_size,delta_threshold,max_points,seed
20newsgroups,tsne,ari,250,0,2,0.971449417175141,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,ari,250,0,3,0.982678696224865,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,ari,250,0,5,0.9537139606020377,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,ari,250,0,8,0.8661042451007808,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,ari,250,0,10,0.7828163871313103,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,ari,250,0,15,0.7877883055790416,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,ari,250,0,20,0.7458439598040137,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,ari,250,1,2,0.9718302563690493,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,ari,250,1,3,0.9812055638891054,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,ari,250,1,5,0.9528577340026534,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,ari,250,1,8,0.8498771736482926,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,ari,250,1,10,0.8052369304635503,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,ari,250,1,15,0.7856089923523525,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,ari,250,1,20,0.7287552009410668,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,ari,250,2,2,0.9763797981805342,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,ari,250,2,3,0.9819152773693504,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,ari,250,2,5,0.9530565112540309,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,ari,250,2,8,0.8329877333400927,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,ari,250,2,10,0.7781714629146406,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,ari,250,2,15,0.7844335541639971,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,ari,250,2,20,0.7430055629470483,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,ari,250,3,2,0.9756959958828786,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,ari,250,3,3,0.9811505734486213,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,ari,250,3,5,0.9532162717821508,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,ari,250,3,8,0.8607550507715626,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,ari,250,3,10,0.8023670750662769,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,ari,250,3,15,0.7819795779734613,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,ari,250,3,20,0.7297682151207904,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,ari,500,0,2,0.9697494567759783,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,ari,500,0,3,0.9806220623466282,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,ari,500,0,5,0.9545962331279416,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,ari,500,0,8,0.8484009320189366,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,ari,500,0,10,0.8044000340981751,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,ari,500,0,15,0.7650477197122229,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,ari,500,0,20,0.7391759177486473,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,ari,500,1,2,0.969039192776776,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,ari,500,1,3,0.9804024884592647,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,ari,500,1,5,0.9558109784038631,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,ari,500,1,8,0.8223907407285491,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,ari,500,1,10,0.797877069910838,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,ari,500,1,15,0.7637134962011042,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,ari,500,1,20,0.7355040373197327,pair_subsampling_convergence,120,4,5000,0.02,3000,123
