dataset_id,method,metric,M_pairs,replicate_id,K,T_mean,scenario_type,b,R,pairs_pool_size,delta_threshold,max_points,seed
20newsgroups,umap,ari,250,0,2,0.956337780793542,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,250,0,3,0.9371206691601882,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,250,0,5,0.9071469727037754,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,250,0,8,0.8528699847263486,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,250,0,10,0.6531368139095679,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,250,0,15,0.795971640704653,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,250,0,20,0.7574756132836304,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,250,1,2,0.9594120123978935,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,250,1,3,0.9292669104428556,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,250,1,5,0.8972838461778506,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,250,1,8,0.8626279555383555,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,250,1,10,0.7147271772139928,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,250,1,15,0.7976512724809004,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,250,1,20,0.7468150375881637,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,250,2,2,0.9602277498226979,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,250,2,3,0.9439536290425409,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,250,2,5,0.8920622844098127,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,250,2,8,0.8525400771822685,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,250,2,10,0.6993805504209586,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,250,2,15,0.8060594326319784,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,250,2,20,0.7649837876357705,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,250,3,2,0.9410836679138868,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ari,250,3,3,0.9360659954313338,pair_subsampling_convergence,120,4,5000,0.02,3000,123
