dataset_id,method,metric,M_pairs,replicate_id,K,T_mean,scenario_type,b,R,pairs_pool_size,delta_threshold,max_points,seed
20newsgroups,tsne,jaccard,250,0,2,0.9721627891285413,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,250,0,3,0.9773905810533426,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,250,0,5,0.9299669285702702,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,250,0,8,0.8135834720896467,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,250,0,10,0.6875506465789369,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,250,0,15,0.679834120651997,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,250,0,20,0.6183904021142865,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,250,1,2,0.9725096096775341,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,250,1,3,0.9754801665953273,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,250,1,5,0.9287934488756853,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,250,1,8,0.7906904237109407,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,250,1,10,0.7179599561562324,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,250,1,15,0.676626988270262,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,250,1,20,0.5968473997666273,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,250,2,2,0.9768900565600356,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,250,2,3,0.9764041684927188,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,250,2,5,0.929074101564836,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,250,2,8,0.7711725736170773,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,250,2,10,0.6853747023495133,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,250,2,15,0.6746424743642987,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,250,2,20,0.614316876855236,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,250,3,2,0.9762403416446618,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,250,3,3,0.9753908527820578,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,250,3,5,0.9292400448969605,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,250,3,8,0.8065816086763261,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,250,3,10,0.713625690926132,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,250,3,15,0.6693744996231746,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,250,3,20,0.59675293438553,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,500,0,2,0.9705350086796384,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,500,0,3,0.9747205581795618,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,500,0,5,0.9312675387699205,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,500,0,8,0.787773311413003,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,500,0,10,0.7151746459806325,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,500,0,15,0.6484154550028017,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,500,0,20,0.6095013962435423,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,500,1,2,0.9698289738466415,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,500,1,3,0.9744403343758128,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,500,1,5,0.9330764381134291,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,500,1,8,0.7581482065435545,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,500,1,10,0.7070594298539505,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,500,1,15,0.6480920985320369,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,500,1,20,0.6053903353883824,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,500,2,2,0.9746242942066895,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,500,2,3,0.9758592821444577,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,500,2,5,0.9300315072551267,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,500,2,8,0.7902815110326094,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,500,2,10,0.7016772081572219,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,500,2,15,0.6647844785193106,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,500,2,20,0.5963082617177268,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,500,3,2,0.9709202884180592,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,500,3,3,0.9741432425220202,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,500,3,5,0.9301228075822857,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,500,3,8,0.7739317462245291,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,500,3,10,0.7162434206274654,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,500,3,15,0.6642433321722051,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,500,3,20,0.5994342084397614,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,1000,0,2,0.9721314461355802,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,1000,0,3,0.9753265723439085,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,1000,0,5,0.9291134985486815,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,1000,0,8,0.7852474533042638,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,1000,0,10,0.713124468073724,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,1000,0,15,0.6671067251265431,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,1000,0,20,0.6017793136142959,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,1000,1,2,0.9710363223906249,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,1000,1,3,0.974049602553455,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,1000,1,5,0.9301793251235017,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,1000,1,8,0.7775219527530158,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,1000,1,10,0.7014138599794881,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,1000,1,15,0.6624708995318822,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,1000,1,20,0.5934233730351051,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,1000,2,2,0.9707399145801197,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,1000,2,3,0.9747379955092267,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,1000,2,5,0.9283782505258179,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,1000,2,8,0.7788470868384788,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,1000,2,10,0.709024754651996,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,1000,2,15,0.6622693800244834,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,1000,2,20,0.6081664055610271,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,1000,3,2,0.9698186060341146,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,1000,3,3,0.9746234686485323,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,1000,3,5,0.9280739883326458,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,1000,3,8,0.7914848725388102,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,1000,3,10,0.7078460694265863,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,1000,3,15,0.6677304488041825,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,1000,3,20,0.611825832546958,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,2000,0,2,0.9709426618263032,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,2000,0,3,0.9747686493612441,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,2000,0,5,0.9312755411274244,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,2000,0,8,0.7874989430239332,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,2000,0,10,0.7154461815991032,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,2000,0,15,0.6742649574332674,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,2000,0,20,0.5996850519466618,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,2000,1,2,0.9719737066835432,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,2000,1,3,0.9749973432734705,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,2000,1,5,0.9302079053438836,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,2000,1,8,0.7884110508762523,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,2000,1,10,0.6987575059498574,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,2000,1,15,0.661687759472545,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,2000,1,20,0.6064457429020023,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,2000,2,2,0.9718937168926038,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,2000,2,3,0.9750532913634615,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,2000,2,5,0.9305331798129567,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,2000,2,8,0.7880364721567109,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,2000,2,10,0.7009024432275542,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,2000,2,15,0.666385532093207,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,2000,2,20,0.6045409326238821,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,2000,3,2,0.9715598547208149,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,2000,3,3,0.9752364986658818,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,2000,3,5,0.929896629167748,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,2000,3,8,0.7919842143961414,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,2000,3,10,0.7074948272841886,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,2000,3,15,0.6560874359843338,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,jaccard,2000,3,20,0.6065823634188342,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,tsne,jaccard,250,0,2,0.9806971704064403,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,tsne,jaccard,250,0,3,0.895943239981596,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,tsne,jaccard,250,0,5,0.8463506073947271,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,tsne,jaccard,250,0,8,0.6690065076241916,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,tsne,jaccard,250,0,10,0.7013359604206406,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,tsne,jaccard,250,0,15,0.5140543537731627,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,tsne,jaccard,250,0,20,0.5387111590307833,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,tsne,jaccard,250,1,2,0.9822811365818583,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,tsne,jaccard,250,1,3,0.9064485324743646,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,tsne,jaccard,250,1,5,0.8520946875485862,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,tsne,jaccard,250,1,8,0.6642609265420324,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,tsne,jaccard,250,1,10,0.6951762985378626,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,tsne,jaccard,250,1,15,0.5123756756781218,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,tsne,jaccard,250,1,20,0.5388914714265854,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,tsne,jaccard,250,2,2,0.967862332390999,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,tsne,jaccard,250,2,3,0.8987166808101738,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,tsne,jaccard,250,2,5,0.84927602981122,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,tsne,jaccard,250,2,8,0.6580461811212167,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,tsne,jaccard,250,2,10,0.6905119736799252,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,tsne,jaccard,250,2,15,0.511475041318045,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,tsne,jaccard,250,2,20,0.5484197359938812,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,tsne,jaccard,250,3,2,0.9744852810419798,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,tsne,jaccard,250,3,3,0.8956922231290578,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,tsne,jaccard,250,3,5,0.8363102136694159,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,tsne,jaccard,250,3,8,0.6764739584548387,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,tsne,jaccard,250,3,10,0.7029469031203088,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,tsne,jaccard,250,3,15,0.5183753702686412,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,tsne,jaccard,250,3,20,0.5284010532040074,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,tsne,jaccard,500,0,2,0.9790977286407302,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,tsne,jaccard,500,0,3,0.904296979265513,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,tsne,jaccard,500,0,5,0.8324490483069611,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,tsne,jaccard,500,0,8,0.6333839263991613,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,tsne,jaccard,500,0,10,0.6935117090998626,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,tsne,jaccard,500,0,15,0.5223576330501114,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,tsne,jaccard,500,0,20,0.5452657008708605,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,tsne,jaccard,500,1,2,0.9776650713341117,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,tsne,jaccard,500,1,3,0.8987115272411589,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,tsne,jaccard,500,1,5,0.834023405006864,pair_subsampling_convergence,120,4,5000,0.02,3000,123
