dataset_id,method,metric,M_pairs,replicate_id,K,T_mean,scenario_type,b,R,pairs_pool_size,delta_threshold,max_points,seed
20newsgroups,umap,jaccard,250,0,2,0.9619769447689501,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,250,0,3,0.930475761727744,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,250,0,5,0.881354581436187,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,250,0,8,0.7890965883246549,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,250,0,10,0.5457434117221407,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,250,0,15,0.6899886767508615,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,250,0,20,0.6358444588480869,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,250,1,2,0.9631866264863231,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,250,1,3,0.922234994833183,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,250,1,5,0.8688449239707308,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,250,1,8,0.7986966083652204,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,250,1,10,0.6194513572757195,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,250,1,15,0.6914006956177127,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,250,1,20,0.6215788872494081,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,250,2,2,0.9639562879098609,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,250,2,3,0.9353317946497668,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,250,2,5,0.8618148609617309,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,250,2,8,0.7900139645808079,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,250,2,10,0.6014310628183467,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,250,2,15,0.7042917017921317,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,250,2,20,0.6465789524118796,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,250,3,2,0.9502002538383918,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,250,3,3,0.9289520696072384,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,250,3,5,0.8908673889971332,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,250,3,8,0.8069558363349405,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,250,3,10,0.6062068144411794,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,250,3,15,0.7077550260473247,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,250,3,20,0.6390418487131074,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,500,0,2,0.9650933627968671,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,500,0,3,0.9224312964603337,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,500,0,5,0.8973358279116127,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,500,0,8,0.790055712372583,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,500,0,10,0.6214006756932139,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,500,0,15,0.6973440369478041,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,500,0,20,0.6486837947646502,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,500,1,2,0.9574921247707916,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,500,1,3,0.9203677261213346,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,500,1,5,0.8841266885618256,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,500,1,8,0.7903647390352772,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,500,1,10,0.6159068245920596,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,500,1,15,0.6991162888195945,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,500,1,20,0.6463320089232073,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,500,2,2,0.9498622530119719,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,500,2,3,0.9137562585707426,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,500,2,5,0.8894778582372924,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,500,2,8,0.7886507161327058,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,500,2,10,0.6019215589540974,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,500,2,15,0.7112460778951586,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,500,2,20,0.6339438843766665,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,500,3,2,0.9540785409905462,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,500,3,3,0.9265530522210839,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,500,3,5,0.8881214122895298,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,500,3,8,0.8170435487773444,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,500,3,10,0.6139394610440385,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,500,3,15,0.697586846134904,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,500,3,20,0.635280170884657,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,1000,0,2,0.9540517219315978,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,1000,0,3,0.9237841832570005,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,1000,0,5,0.883074554888766,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,1000,0,8,0.7885301064274771,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,1000,0,10,0.6252231826997454,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,1000,0,15,0.6975373705451989,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,1000,0,20,0.6369673184020886,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,1000,1,2,0.95795226088398,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,1000,1,3,0.9356109215855236,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,1000,1,5,0.8852548231221803,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,1000,1,8,0.8046982584162705,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,1000,1,10,0.6140693133446293,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,1000,1,15,0.7112950082413086,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,1000,1,20,0.6449491478674116,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,1000,2,2,0.9535922249003304,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,1000,2,3,0.9201597514892222,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,1000,2,5,0.890940804498996,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,1000,2,8,0.7960674329890599,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,1000,2,10,0.5957250525008654,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,1000,2,15,0.6969524326256283,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,1000,2,20,0.6322281944071857,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,1000,3,2,0.9572166605622765,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,1000,3,3,0.9222155300891087,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,1000,3,5,0.8830631041829737,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,1000,3,8,0.7957798847225784,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,1000,3,10,0.6080577876773875,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,1000,3,15,0.7039412690785092,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,1000,3,20,0.6475608723783131,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,2000,0,2,0.9577531136164423,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,2000,0,3,0.9243886056738816,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,2000,0,5,0.8825309811411259,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,2000,0,8,0.7979172630061773,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,2000,0,10,0.6110096066651526,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,2000,0,15,0.7020980645729614,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,2000,0,20,0.6415879886801458,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,2000,1,2,0.9603777766347484,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,2000,1,3,0.9255412745686309,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,2000,1,5,0.8797832427180187,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,2000,1,8,0.8000575417651974,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,2000,1,10,0.6070729020956757,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,2000,1,15,0.6987127550271107,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,2000,1,20,0.639024366797968,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,2000,2,2,0.955978356230621,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,2000,2,3,0.9248138012883695,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,2000,2,5,0.879346837012815,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,2000,2,8,0.7969048169183426,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,2000,2,10,0.6129517818538422,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,2000,2,15,0.7031861053186378,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,2000,2,20,0.639329581994183,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,2000,3,2,0.965022828772023,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,2000,3,3,0.9200712449467823,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,jaccard,2000,3,5,0.8756437168299823,pair_subsampling_convergence,120,4,5000,0.02,3000,123
