dataset_id,method,scenario,scenario_type,metric,K,T_mean,T_std,q95_null,p_value,p_le_0p05,K_BH,fraction,b,pairs_per_k,n_null,max_points,seed
mnist,umap,real_embedding_real_labels,reference,ami,2,0.9879359244004604,0.010539875839513284,2.746184217014086e-05,0.004975124378109453,True,20,0.8,80,1200,200,3000,123
mnist,umap,real_embedding_real_labels,reference,ami,3,0.9663468878510095,0.02492788237626087,3.3339785381490705e-05,0.004975124378109453,True,20,0.8,80,1200,200,3000,123
mnist,umap,real_embedding_real_labels,reference,ami,5,0.9997718807229827,0.0007095944342597492,4.4434657194632944e-05,0.004975124378109453,True,20,0.8,80,1200,200,3000,123
mnist,umap,real_embedding_real_labels,reference,ami,8,0.9891351682810068,0.007520916512816403,6.918362137916688e-05,0.004975124378109453,True,20,0.8,80,1200,200,3000,123
mnist,umap,real_embedding_real_labels,reference,ami,10,0.9903965252217624,0.009016318160091864,7.625717333210809e-05,0.004975124378109453,True,20,0.8,80,1200,200,3000,123
mnist,umap,real_embedding_real_labels,reference,ami,15,0.9393338129198476,0.026381400451342664,0.00010686889268775441,0.004975124378109453,True,20,0.8,80,1200,200,3000,123
mnist,umap,real_embedding_real_labels,reference,ami,20,0.9377723726357257,0.021897401931586125,0.00011666724596389491,0.004975124378109453,True,20,0.8,80,1200,200,3000,123
mnist,umap,rand2d_embedding_real_labels,negative_control,ami,2,0.4788663353266772,0.361052264783148,3.0402774315012626e-05,0.004975124378109453,True,20,0.8,80,1200,200,3000,123
mnist,umap,rand2d_embedding_real_labels,negative_control,ami,3,0.630615960933589,0.182540395576225,3.840209773496668e-05,0.004975124378109453,True,20,0.8,80,1200,200,3000,123
mnist,umap,rand2d_embedding_real_labels,negative_control,ami,5,0.8647401380956959,0.08543055954358442,4.3158353098404786e-05,0.004975124378109453,True,20,0.8,80,1200,200,3000,123
mnist,umap,rand2d_embedding_real_labels,negative_control,ami,8,0.7467027762903723,0.10716491348551767,5.384835930288478e-05,0.004975124378109453,True,20,0.8,80,1200,200,3000,123
mnist,umap,rand2d_embedding_real_labels,negative_control,ami,10,0.8489136945793705,0.0669313613015514,7.64315586933786e-05,0.004975124378109453,True,20,0.8,80,1200,200,3000,123
mnist,umap,rand2d_embedding_real_labels,negative_control,ami,15,0.7448553449048283,0.05279747705534079,0.00011198231708350092,0.004975124378109453,True,20,0.8,80,1200,200,3000,123
mnist,umap,rand2d_embedding_real_labels,negative_control,ami,20,0.7439025734409616,0.0379500304434985,0.00013534736837651895,0.004975124378109453,True,20,0.8,80,1200,200,3000,123
