dataset_id,method,metric,M_pairs,delta_max_abs_median,delta_pass,mean_eligible_pairs,m_min_fixed,k_range_json,n_k,n_replicates,scenario_type,b,R,pairs_pool_size,delta_threshold,max_points,seed
20newsgroups,tsne,ami,250,0.0164348090760779,True,100.75,1922,"[2, 3, 5, 8, 10, 15, 20]",7,4,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,ami,500,0.0085523911042891,True,213.25,1922,"[2, 3, 5, 8, 10, 15, 20]",7,4,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,ami,1000,0.0053032792632462,True,418.75,1922,"[2, 3, 5, 8, 10, 15, 20]",7,4,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,tsne,ami,2000,0.0059086815367753,True,845.0,1922,"[2, 3, 5, 8, 10, 15, 20]",7,4,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ami,250,0.0231248211037997,False,100.75,1922,"[2, 3, 5, 8, 10, 15, 20]",7,4,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ami,500,0.0129443594878846,True,213.25,1922,"[2, 3, 5, 8, 10, 15, 20]",7,4,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ami,1000,0.011766929960177,True,418.75,1922,"[2, 3, 5, 8, 10, 15, 20]",7,4,pair_subsampling_convergence,120,4,5000,0.02,3000,123
20newsgroups,umap,ami,2000,0.0065975680666803,True,845.0,1922,"[2, 3, 5, 8, 10, 15, 20]",7,4,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,tsne,ami,250,0.0120437503155471,True,110.25,257,"[2, 3, 5, 8, 10, 15, 20]",7,4,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,tsne,ami,500,0.0079984641804096,True,208.75,257,"[2, 3, 5, 8, 10, 15, 20]",7,4,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,tsne,ami,1000,0.0058086837711975,True,423.75,257,"[2, 3, 5, 8, 10, 15, 20]",7,4,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,tsne,ami,2000,0.0034992140219787,True,867.5,257,"[2, 3, 5, 8, 10, 15, 20]",7,4,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ami,250,0.0200665317366065,False,110.25,257,"[2, 3, 5, 8, 10, 15, 20]",7,4,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ami,500,0.0136793890262003,True,208.75,257,"[2, 3, 5, 8, 10, 15, 20]",7,4,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ami,1000,0.0114371586623573,True,423.75,257,"[2, 3, 5, 8, 10, 15, 20]",7,4,pair_subsampling_convergence,120,4,5000,0.02,3000,123
olivetti_faces,umap,ami,2000,0.00289413542823,True,867.5,257,"[2, 3, 5, 8, 10, 15, 20]",7,4,pair_subsampling_convergence,120,4,5000,0.02,3000,123
