dataset_id,method,metric,K,score
20newsgroups,tsne,ami,2,0.7533943247915387
20newsgroups,tsne,ami,2,0.7603687297070446
20newsgroups,tsne,ami,2,0.98777791522428
20newsgroups,tsne,ami,2,0.981924565632991
20newsgroups,tsne,ami,2,0.7618254785482265
20newsgroups,tsne,ami,2,0.7581019661829778
20newsgroups,tsne,ami,2,0.9784883745962801
20newsgroups,tsne,ami,2,0.9966827966492923
20newsgroups,tsne,ami,2,0.9730172881518949
20newsgroups,tsne,ami,2,0.9826042871121593
20newsgroups,tsne,ami,2,0.7753341488312592
20newsgroups,tsne,ami,2,0.766840358882969
20newsgroups,tsne,ami,2,0.7397265397050076
20newsgroups,tsne,ami,2,0.9839457680796987
20newsgroups,tsne,ami,2,0.9761170544151684
20newsgroups,tsne,ami,2,0.9792995936538191
20newsgroups,tsne,ami,2,0.9768114173690443
20newsgroups,tsne,ami,2,0.7753089444353796
20newsgroups,tsne,ami,2,0.777723362678008
20newsgroups,tsne,ami,2,0.9805311475045936
20newsgroups,tsne,ami,2,0.7336636856181739
20newsgroups,tsne,ami,2,0.7360641191086679
20newsgroups,tsne,ami,2,0.7576352391679987
20newsgroups,tsne,ami,2,0.7762881135615389
20newsgroups,tsne,ami,2,0.7472258507779562
20newsgroups,tsne,ami,2,0.9931754658067444
20newsgroups,tsne,ami,2,0.9324653006730341
20newsgroups,tsne,ami,2,0.9781995719584662
20newsgroups,tsne,ami,2,0.9833029099971275
20newsgroups,tsne,ami,2,0.7327219090309394
20newsgroups,tsne,ami,2,0.9939966895883766
20newsgroups,tsne,ami,2,0.9755869041377934
20newsgroups,tsne,ami,2,0.9888958693226566
20newsgroups,tsne,ami,2,0.9853269206828177
20newsgroups,tsne,ami,2,0.9839956739954064
20newsgroups,tsne,ami,2,0.7727061111802968
20newsgroups,tsne,ami,2,0.9768534903577244
20newsgroups,tsne,ami,2,0.9806176703493789
20newsgroups,tsne,ami,2,0.9831074595007512
20newsgroups,tsne,ami,2,0.9715399792878628
20newsgroups,tsne,ami,2,0.7637321999163272
20newsgroups,tsne,ami,2,0.7890236071276674
20newsgroups,tsne,ami,2,0.9957538706426403
20newsgroups,tsne,ami,2,0.9701885387838709
20newsgroups,tsne,ami,2,0.9830686194677744
20newsgroups,tsne,ami,2,0.987459399095832
20newsgroups,tsne,ami,2,0.991142215755025
20newsgroups,tsne,ami,2,0.7645056590047841
20newsgroups,tsne,ami,2,0.9903815492011278
20newsgroups,tsne,ami,2,0.7232218319818542
20newsgroups,tsne,ami,2,0.9795672324620571
20newsgroups,tsne,ami,2,0.7848719410798558
20newsgroups,tsne,ami,2,0.9761717678094711
20newsgroups,tsne,ami,2,0.9911514630387492
20newsgroups,tsne,ami,2,0.9806682016058903
20newsgroups,tsne,ami,2,0.9969125342961609
20newsgroups,tsne,ami,2,0.7484849586655665
20newsgroups,tsne,ami,2,0.7672590201159106
20newsgroups,tsne,ami,2,0.7343973314690787
20newsgroups,tsne,ami,2,0.9960204450728576
20newsgroups,tsne,ami,2,0.7790459135252832
20newsgroups,tsne,ami,2,0.9286631336795019
20newsgroups,tsne,ami,2,0.7372956453049329
20newsgroups,tsne,ami,2,0.7713896301074868
20newsgroups,tsne,ami,2,0.725358464178707
20newsgroups,tsne,ami,2,0.7906394821305839
20newsgroups,tsne,ami,2,0.9878591495292489
20newsgroups,tsne,ami,2,0.7717840821690227
20newsgroups,tsne,ami,2,1.0
20newsgroups,tsne,ami,2,0.7469820816548842
20newsgroups,tsne,ami,2,0.7558446354177019
20newsgroups,tsne,ami,2,0.7520020548369174
20newsgroups,tsne,ami,2,0.9401866293160241
20newsgroups,tsne,ami,2,0.9865700407954365
20newsgroups,tsne,ami,2,0.9761421247073616
20newsgroups,tsne,ami,2,0.9826037665727304
20newsgroups,tsne,ami,2,0.7741325673225257
20newsgroups,tsne,ami,2,0.720603971768859
20newsgroups,tsne,ami,2,0.9825940547832576
20newsgroups,tsne,ami,2,0.9748974662366104
20newsgroups,tsne,ami,2,0.9180507681142493
20newsgroups,tsne,ami,2,0.9766629832023802
20newsgroups,tsne,ami,2,0.9801175550706668
20newsgroups,tsne,ami,2,0.721268750831513
20newsgroups,tsne,ami,2,0.9846327566993651
20newsgroups,tsne,ami,2,0.7638592890925985
20newsgroups,tsne,ami,2,0.7793993918161763
20newsgroups,tsne,ami,2,0.9771867231857857
20newsgroups,tsne,ami,2,0.7593037356187222
20newsgroups,tsne,ami,2,0.9969170401289549
20newsgroups,tsne,ami,2,0.9881885407617952
20newsgroups,tsne,ami,2,0.733407525291947
20newsgroups,tsne,ami,2,0.7558856601568945
20newsgroups,tsne,ami,2,0.7227097763293926
20newsgroups,tsne,ami,2,0.7755365135068212
20newsgroups,tsne,ami,2,0.9978485327717811
20newsgroups,tsne,ami,2,0.9903868748716167
20newsgroups,tsne,ami,2,0.7722324171539597
20newsgroups,tsne,ami,2,0.9927108878958525
20newsgroups,tsne,ami,2,0.7938005899364926
20newsgroups,tsne,ami,2,0.7437498544133037
20newsgroups,tsne,ami,2,0.939346205488379
20newsgroups,tsne,ami,2,0.99475907611211
20newsgroups,tsne,ami,2,0.7412502980642809
20newsgroups,tsne,ami,2,0.9793233752927365
20newsgroups,tsne,ami,2,0.7662149501545099
20newsgroups,tsne,ami,2,0.7443903558589035
20newsgroups,tsne,ami,2,0.7839704033741497
20newsgroups,tsne,ami,2,0.9880789406556694
20newsgroups,tsne,ami,2,0.9872953571651858
20newsgroups,tsne,ami,2,0.993493674179757
20newsgroups,tsne,ami,2,0.7815367568301527
20newsgroups,tsne,ami,2,0.9860236435643375
20newsgroups,tsne,ami,2,0.7667395265273561
20newsgroups,tsne,ami,2,0.7442846175280106
20newsgroups,tsne,ami,2,0.9381152575197197
20newsgroups,tsne,ami,2,0.9896514429682889
20newsgroups,tsne,ami,2,0.9830732683859149
20newsgroups,tsne,ami,2,0.9911466641034613
20newsgroups,tsne,ami,2,0.7609994953123914
20newsgroups,tsne,ami,2,0.9889035371817697
20newsgroups,tsne,ami,2,0.9927026006359265
20newsgroups,tsne,ami,2,0.7314986960135562
20newsgroups,tsne,ami,2,0.7465149134126629
20newsgroups,tsne,ami,2,0.7798810901683398
20newsgroups,tsne,ami,2,0.7766634674183727
20newsgroups,tsne,ami,2,0.7442895587554917
20newsgroups,tsne,ami,2,0.9903854648278336
20newsgroups,tsne,ami,2,0.7472739474536026
20newsgroups,tsne,ami,2,0.9283631805459864
20newsgroups,tsne,ami,2,0.9819285717246009
20newsgroups,tsne,ami,2,0.9839471753341082
20newsgroups,tsne,ami,2,0.9943234431248524
20newsgroups,tsne,ami,2,0.9881691901585098
20newsgroups,tsne,ami,2,0.7566152593276233
20newsgroups,tsne,ami,2,0.9860522323341729
20newsgroups,tsne,ami,2,0.7819000782567946
20newsgroups,tsne,ami,2,0.7529915222176998
20newsgroups,tsne,ami,2,0.765930181421391
20newsgroups,tsne,ami,2,0.9919340392185847
20newsgroups,tsne,ami,2,0.7928258044519619
20newsgroups,tsne,ami,2,0.9850979223657825
20newsgroups,tsne,ami,2,0.9800314463468436
20newsgroups,tsne,ami,2,0.9927074860324786
20newsgroups,tsne,ami,2,0.9927175775891383
20newsgroups,tsne,ami,2,0.9969157552767748
20newsgroups,tsne,ami,2,0.7504508093281294
20newsgroups,tsne,ami,2,0.7494919215410588
20newsgroups,tsne,ami,2,0.7903478027832865
20newsgroups,tsne,ami,2,0.7758802898677182
20newsgroups,tsne,ami,2,0.979299593653819
20newsgroups,tsne,ami,2,0.9853289969050293
20newsgroups,tsne,ami,2,0.9877442767474103
20newsgroups,tsne,ami,2,0.7929657685867584
20newsgroups,tsne,ami,2,0.7529338222441836
20newsgroups,tsne,ami,2,0.9862024680393386
20newsgroups,tsne,ami,2,0.9712750075348148
20newsgroups,tsne,ami,2,0.9839717708481528
20newsgroups,tsne,ami,2,0.984638897494915
20newsgroups,tsne,ami,2,0.7771857646006596
20newsgroups,tsne,ami,2,0.7796125639832432
20newsgroups,tsne,ami,2,0.9888458928463943
20newsgroups,tsne,ami,2,0.7522070104634618
20newsgroups,tsne,ami,2,0.7900071758036769
20newsgroups,tsne,ami,2,0.9825149773604118
20newsgroups,tsne,ami,2,1.0
20newsgroups,tsne,ami,2,0.998838678341379
20newsgroups,tsne,ami,2,0.9919181018786546
20newsgroups,tsne,ami,2,0.7443020707249547
20newsgroups,tsne,ami,2,0.7771920083451866
20newsgroups,tsne,ami,2,0.7451934709962881
20newsgroups,tsne,ami,2,0.9646163423377253
20newsgroups,tsne,ami,2,0.750395168161027
20newsgroups,tsne,ami,2,0.9978457664813334
20newsgroups,tsne,ami,2,0.7526717852738543
20newsgroups,tsne,ami,2,0.7379540539013957
20newsgroups,tsne,ami,2,0.8940997418093523
20newsgroups,tsne,ami,2,0.7531518133847627
20newsgroups,tsne,ami,2,0.7665806402703538
20newsgroups,tsne,ami,2,0.9930189886880489
20newsgroups,tsne,ami,2,0.9978443690077665
20newsgroups,tsne,ami,2,0.7520822152936343
20newsgroups,tsne,ami,2,0.9140903658361428
20newsgroups,tsne,ami,2,0.7526090946958319
20newsgroups,tsne,ami,2,0.7580029968106359
20newsgroups,tsne,ami,2,0.7687708275616182
20newsgroups,tsne,ami,2,0.9943241060291064
20newsgroups,tsne,ami,2,0.9930054489575028
20newsgroups,tsne,ami,2,0.9701371562634069
20newsgroups,tsne,ami,2,0.9888950571813315
20newsgroups,tsne,ami,2,0.7424582696928801
20newsgroups,tsne,ami,2,0.7847446824590958
20newsgroups,tsne,ami,2,0.9525445119549016
20newsgroups,tsne,ami,2,0.735100797349988
20newsgroups,tsne,ami,2,0.9896344542427494
20newsgroups,tsne,ami,2,0.981260899102966
20newsgroups,tsne,ami,2,0.9390115469188568
20newsgroups,tsne,ami,2,0.9969129622786319
20newsgroups,tsne,ami,2,0.9839533392571247
20newsgroups,tsne,ami,2,0.7408386528679664
20newsgroups,tsne,ami,2,0.7550035003583857
20newsgroups,tsne,ami,2,0.7573897108330954
20newsgroups,tsne,ami,2,0.7448677432280169
20newsgroups,tsne,ami,2,0.9692289707295965
20newsgroups,tsne,ami,2,0.9870249156583427
20newsgroups,tsne,ami,2,0.7670336606836198
20newsgroups,tsne,ami,2,0.9903381782115971
20newsgroups,tsne,ami,2,0.7687584951890716
20newsgroups,tsne,ami,2,0.9831599583059313
20newsgroups,tsne,ami,2,0.9839824861629436
20newsgroups,tsne,ami,2,0.9780675826133496
20newsgroups,tsne,ami,2,0.9903866363653284
20newsgroups,tsne,ami,2,0.9960227462739755
20newsgroups,tsne,ami,2,0.7632477731404366
20newsgroups,tsne,ami,2,0.7355140409150777
20newsgroups,tsne,ami,2,0.9960311772911187
20newsgroups,tsne,ami,2,0.9834881719271622
20newsgroups,tsne,ami,2,0.9804867211386705
20newsgroups,tsne,ami,2,0.7874230418436258
20newsgroups,tsne,ami,2,0.7352377219707578
20newsgroups,tsne,ami,2,0.9948647130149254
20newsgroups,tsne,ami,2,0.7737375716791932
20newsgroups,tsne,ami,2,0.9814709896766172
20newsgroups,tsne,ami,2,0.7406458169903395
20newsgroups,tsne,ami,2,0.7473739621370478
20newsgroups,tsne,ami,2,0.7641170103956755
20newsgroups,tsne,ami,2,0.9927040621507842
20newsgroups,tsne,ami,2,0.7499446154713106
20newsgroups,tsne,ami,2,0.7826427363777292
20newsgroups,tsne,ami,2,0.7833138498918527
20newsgroups,tsne,ami,2,0.7680897803262379
20newsgroups,tsne,ami,2,0.9862999177204669
20newsgroups,tsne,ami,2,0.7622959737265342
20newsgroups,tsne,ami,2,0.7733495943188697
20newsgroups,tsne,ami,2,0.9624772004286746
20newsgroups,tsne,ami,2,0.7805001700670404
20newsgroups,tsne,ami,2,0.7683588139284716
20newsgroups,tsne,ami,2,0.9728089658823427
20newsgroups,tsne,ami,2,0.782127932781301
20newsgroups,tsne,ami,2,0.986733527818308
20newsgroups,tsne,ami,2,0.9817143488443619
20newsgroups,tsne,ami,2,0.7640991980057134
20newsgroups,tsne,ami,2,0.9515879935188741
20newsgroups,tsne,ami,2,0.759031816939942
20newsgroups,tsne,ami,2,0.7820987815732627
20newsgroups,tsne,ami,2,0.9880799915276096
20newsgroups,tsne,ami,2,0.7392798667991712
20newsgroups,tsne,ami,2,0.9854341248563181
20newsgroups,tsne,ami,2,0.7783963152576708
20newsgroups,tsne,ami,2,0.9935096099575038
20newsgroups,tsne,ami,2,0.9839575763490729
20newsgroups,tsne,ami,2,0.7645576766374664
20newsgroups,tsne,ami,2,0.9951592007019151
20newsgroups,tsne,ami,2,0.7420196820247924
20newsgroups,tsne,ami,2,0.7384091265475299
20newsgroups,tsne,ami,2,0.9935054832667317
20newsgroups,tsne,ami,2,0.757581594301529
20newsgroups,tsne,ami,2,0.9886713629456995
20newsgroups,tsne,ami,2,0.9779715575165808
20newsgroups,tsne,ami,2,0.9834849783620881
20newsgroups,tsne,ami,2,0.9903900850966054
20newsgroups,tsne,ami,2,0.9903496536059754
20newsgroups,tsne,ami,2,0.7428046760865574
20newsgroups,tsne,ami,2,0.9903885399333496
20newsgroups,tsne,ami,2,0.9864345041272128
20newsgroups,tsne,ami,2,0.9890064019508128
20newsgroups,tsne,ami,2,0.7687512260611582
20newsgroups,tsne,ami,2,0.984923463944905
20newsgroups,tsne,ami,2,0.7719246087461652
20newsgroups,tsne,ami,2,0.9753536477273905
20newsgroups,tsne,ami,2,0.7690323607176813
20newsgroups,tsne,ami,2,0.9839498704722758
20newsgroups,tsne,ami,2,0.7849047197506474
20newsgroups,tsne,ami,2,0.7437682527506512
20newsgroups,tsne,ami,2,0.7713198164171692
20newsgroups,tsne,ami,2,0.9842293133687786
20newsgroups,tsne,ami,2,0.9880721191483754
20newsgroups,tsne,ami,2,0.7701895932775714
20newsgroups,tsne,ami,2,0.747889115750449
20newsgroups,tsne,ami,2,0.7567483886940171
20newsgroups,tsne,ami,2,0.9938327792421922
20newsgroups,tsne,ami,2,0.9864314755266359
20newsgroups,tsne,ami,2,0.982437658005119
20newsgroups,tsne,ami,2,0.9988394240192039
20newsgroups,tsne,ami,2,0.7593941360980542
20newsgroups,tsne,ami,2,0.9748999655159655
20newsgroups,tsne,ami,2,0.9877196050083734
20newsgroups,tsne,ami,2,0.7601538348025637
20newsgroups,tsne,ami,2,0.7504051459583779
20newsgroups,tsne,ami,2,0.7759240472545273
20newsgroups,tsne,ami,2,0.7551577730686753
