dataset_id,method,scenario,scenario_type,metric,K,T_mean,T_std,q95_null,p_value,p_le_0p05,K_BH,fraction,b,pairs_per_k,n_null,max_points,seed
ag_news,umap,rand2d_per_replicate,negative_control,ami,2,-1.6251906596052886e-05,0.0004899737730689128,2.2856062959650273e-05,0.8557213930348259,False,,0.8,80,1200,200,3000,123
ag_news,umap,rand2d_per_replicate,negative_control,ami,3,2.1811600736981222e-05,0.0007052453725483919,3.087791800147841e-05,0.1044776119402985,False,,0.8,80,1200,200,3000,123
ag_news,umap,rand2d_per_replicate,negative_control,ami,5,3.905823178368259e-05,0.0008985311631593993,4.434233208619118e-05,0.06965174129353234,False,,0.8,80,1200,200,3000,123
ag_news,umap,rand2d_per_replicate,negative_control,ami,8,-1.8462102903589513e-05,0.0013081448207767244,5.754589465763711e-05,0.7611940298507462,False,,0.8,80,1200,200,3000,123
ag_news,umap,rand2d_per_replicate,negative_control,ami,10,2.401284050020979e-05,0.001480306315164577,6.922331933272546e-05,0.2835820895522388,False,,0.8,80,1200,200,3000,123
ag_news,umap,rand2d_per_replicate,negative_control,ami,15,5.3175721056835705e-05,0.0020521627223981423,0.00010029537513513539,0.19900497512437812,False,,0.8,80,1200,200,3000,123
ag_news,umap,rand2d_per_replicate,negative_control,ami,20,7.90156931835681e-05,0.0026792076840416574,0.00014939120789336303,0.1791044776119403,False,,0.8,80,1200,200,3000,123
ag_news,umap,shuffled_features_per_replicate,negative_control,ami,2,-2.425712678932147e-05,0.000484549531561163,2.6273284935386318e-05,0.9353233830845771,False,,0.8,80,1200,200,3000,123
ag_news,umap,shuffled_features_per_replicate,negative_control,ami,3,-1.5628838035367748e-05,0.0006705934086412815,3.0408923528022256e-05,0.7711442786069652,False,,0.8,80,1200,200,3000,123
ag_news,umap,shuffled_features_per_replicate,negative_control,ami,5,4.783207462721585e-05,0.0009411362696237078,3.713307129267147e-05,0.01990049751243781,True,,0.8,80,1200,200,3000,123
ag_news,umap,shuffled_features_per_replicate,negative_control,ami,8,4.346078930740052e-05,0.0012853204550516708,6.576370153728478e-05,0.16417910447761194,False,,0.8,80,1200,200,3000,123
ag_news,umap,shuffled_features_per_replicate,negative_control,ami,10,-6.9188127414057e-05,0.001500188219254705,6.369884959936567e-05,0.9502487562189055,False,,0.8,80,1200,200,3000,123
ag_news,umap,shuffled_features_per_replicate,negative_control,ami,15,1.285802167130008e-06,0.0020728841840737754,8.930043419546286e-05,0.527363184079602,False,,0.8,80,1200,200,3000,123
ag_news,umap,shuffled_features_per_replicate,negative_control,ami,20,4.149339848217247e-05,0.002585694732681505,0.0001122341122465582,0.2736318407960199,False,,0.8,80,1200,200,3000,123
mnist,umap,rand2d_per_replicate,negative_control,ami,2,-1.6251906596052886e-05,0.0004899737730689128,2.2856062959650273e-05,0.8557213930348259,False,,0.8,80,1200,200,3000,123
mnist,umap,rand2d_per_replicate,negative_control,ami,3,2.1811600736981222e-05,0.0007052453725483919,3.087791800147841e-05,0.1044776119402985,False,,0.8,80,1200,200,3000,123
mnist,umap,rand2d_per_replicate,negative_control,ami,5,3.905823178368259e-05,0.0008985311631593993,4.434233208619118e-05,0.06965174129353234,False,,0.8,80,1200,200,3000,123
mnist,umap,rand2d_per_replicate,negative_control,ami,8,-1.8462102903589513e-05,0.0013081448207767244,5.754589465763711e-05,0.7611940298507462,False,,0.8,80,1200,200,3000,123
mnist,umap,rand2d_per_replicate,negative_control,ami,10,2.401284050020979e-05,0.001480306315164577,6.922331933272546e-05,0.2835820895522388,False,,0.8,80,1200,200,3000,123
mnist,umap,rand2d_per_replicate,negative_control,ami,15,5.3175721056835705e-05,0.0020521627223981423,0.00010029537513513539,0.19900497512437812,False,,0.8,80,1200,200,3000,123
mnist,umap,rand2d_per_replicate,negative_control,ami,20,7.90156931835681e-05,0.0026792076840416574,0.00014939120789336303,0.1791044776119403,False,,0.8,80,1200,200,3000,123
mnist,umap,shuffled_features_per_replicate,negative_control,ami,2,-1.7229694682632064e-05,0.0004975321074713791,2.4771183629796028e-05,0.8208955223880597,False,,0.8,80,1200,200,3000,123
mnist,umap,shuffled_features_per_replicate,negative_control,ami,3,-1.23233153064819e-05,0.000652741496892383,2.835153920689717e-05,0.7860696517412935,False,,0.8,80,1200,200,3000,123
mnist,umap,shuffled_features_per_replicate,negative_control,ami,5,3.172621213379453e-05,0.00095427092967422,3.962588042624874e-05,0.0845771144278607,False,,0.8,80,1200,200,3000,123
mnist,umap,shuffled_features_per_replicate,negative_control,ami,8,2.3986069588332286e-05,0.0012453115405226696,5.838948481626138e-05,0.22885572139303484,False,,0.8,80,1200,200,3000,123
mnist,umap,shuffled_features_per_replicate,negative_control,ami,10,-1.3957806514161569e-05,0.001502203294938979,6.0544868881266424e-05,0.6069651741293532,False,,0.8,80,1200,200,3000,123
mnist,umap,shuffled_features_per_replicate,negative_control,ami,15,4.583247043607161e-05,0.0020767385098854614,9.555460752698675e-05,0.24875621890547264,False,,0.8,80,1200,200,3000,123
mnist,umap,shuffled_features_per_replicate,negative_control,ami,20,1.8239473336637666e-05,0.0026861131665557258,0.00012815034398783865,0.4975124378109453,False,,0.8,80,1200,200,3000,123
